Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_geographiques_x,coordonnees_geographiques_y
22282,ST CAST LE GUILDO,22380,,ST CAST LE GUILDO,48.60362037,-2.248600685
22296,ST GLEN,22510,,ST GLEN,48.353177521,-2.521276583
22306,ST JUDOCE,22630,,ST JUDOCE,48.362761989,-1.954058288
22307,ST JULIEN,22940,,ST JULIEN,48.447523116,-2.817899305
22316,ST MAYEUX,22320,,ST MAYEUX,48.264036049,-3.015630501
22326,ST RIEUL,22270,,ST RIEUL,48.442755413,-2.420466653
22347,TREDARZEC,22220,,TREDARZEC,48.791135946,-3.201092476
22349,TREDREZ LOCQUEMEAU,22300,LOCQUEMEAU,TREDREZ LOCQUEMEAU,48.70786489,-3.563569387
22350,TREDUDER,22310,,TREDUDER,48.654793702,-3.566579335
22356,TREGOMEUR,22590,,TREGOMEUR,48.567347972,-2.883370675
22359,TREGROM,22420,,TREGROM,48.594852208,-3.402678522
22360,TREGUEUX,22950,,TREGUEUX,48.480324646,-2.745100895
22369,TREMEUR,22250,,TREMEUR,48.350654175,-2.268543337
22371,TREMOREL,22230,,TREMOREL,48.19134536,-2.302331058
22372,TREMUSON,22440,,TREMUSON,48.524530239,-2.848563502
22390,YVIAS,22930,,YVIAS,48.714638904,-3.046277646
22391,YVIGNAC LA TOUR,22350,,YVIGNAC LA TOUR,48.349073,-2.170540712
22004,BEGARD,22140,,BEGARD,48.634782583,-3.291535083
22004,BEGARD,22140,GUENEZAN,BEGARD,48.634782583,-3.291535083
22024,CALANHEL,22160,,CALANHEL,48.440621575,-3.475563201
22028,CAMLEZ,22450,,CAMLEZ,48.783206246,-3.315401686
22042,COATREVEN,22450,,COATREVEN,48.763417042,-3.32597473
22043,COETLOGON,22210,,COETLOGON,48.132373543,-2.543199062
22045,COHINIAC,22800,,COHINIAC,48.451473972,-2.946720821
22046,LE MENE,22330,ST GILLES DU MENE,LE MENE,48.282633111,-2.531186445
22056,EVRAN,22630,,EVRAN,48.384911528,-1.980060647
22060,GAUSSON,22150,,GAUSSON,48.293055662,-2.76120763
22065,GOUDELIN,22290,,GOUDELIN,48.603446979,-3.022823933
22069,GUENROC,22350,,GUENROC,48.313634373,-2.080696693
22071,GUITTE,22350,,GUITTE,48.290858999,-2.102009002
22077,HENANSAL,22400,,HENANSAL,48.537926258,-2.447839535
22084,JUGON LES LACS COMMUNE NOUVELLE,22270,JUGON LES LACS,JUGON LES LACS COMMUNE NOUVELLE,48.406110996,-2.326902147
22088,KERIEN,22480,,KERIEN,48.409393401,-3.230681705
22092,KERPERT,22480,,KERPERT,48.389912955,-3.136411171
22093,LAMBALLE ARMOR,22400,LA COTENTIN PLANGUENOUAL,LAMBALLE ARMOR,48.485734593,-2.472990332
22093,LAMBALLE ARMOR,22400,LA POTERIE,LAMBALLE ARMOR,48.485734593,-2.472990332
22093,LAMBALLE ARMOR,22400,MAROUE,LAMBALLE ARMOR,48.485734593,-2.472990332
22096,LANDEBIA,22130,,LANDEBIA,48.515181456,-2.337313612
22099,LANFAINS,22800,,LANFAINS,48.36537327,-2.911495111
22103,LANGROLAY SUR RANCE,22490,,LANGROLAY SUR RANCE,48.553083641,-2.014425393
22107,BON REPOS SUR BLAVET,22570,LANISCAT,BON REPOS SUR BLAVET,48.223995004,-3.123600422
22111,LANMODEZ,22610,,LANMODEZ,48.845465393,-3.096558927
22113,LANNION,22300,BEG LEGUER SERVEL,LANNION,48.743719598,-3.46130389
22118,LANVALLAY,22100,,LANVALLAY,48.451576812,-2.011490444
22122,LAURENAN,22230,,LAURENAN,48.215039749,-2.519094852
22133,LOSCOUET SUR MEU,22230,,LOSCOUET SUR MEU,48.175754545,-2.25109994
22137,MAEL CARHAIX,22340,,MAEL CARHAIX,48.288071267,-3.410397882
22148,MERILLAC,22230,,MERILLAC,48.24993278,-2.391017737
22158,GUERLEDAN,22530,MUR DE BRETAGNE,GUERLEDAN,48.201483257,-2.957966114
22162,PAIMPOL,22500,,PAIMPOL,48.773414138,-3.054779415
22166,PENVENAN,22710,,PENVENAN,48.816972706,-3.301924259
22166,PENVENAN,22710,BUGUELES,PENVENAN,48.816972706,-3.301924259
22170,PLAINE HAUTE,22800,,PLAINE HAUTE,48.443303854,-2.859140189
22172,PLANCOET,22130,,PLANCOET,48.514601641,-2.21932543
22179,FREHEL,22240,LA CARQUOIS,FREHEL,48.634581636,-2.361916102
22185,PLENEE JUGON,22640,,PLENEE JUGON,48.355685105,-2.415212201
22189,PLESIDY,22720,,PLESIDY,48.441570694,-3.126099759
22194,PLESTIN LES GREVES,22310,,PLESTIN LES GREVES,48.647713454,-3.620177657
22198,PLEUMEUR BODOU,22560,LANDRELLEC,PLEUMEUR BODOU,48.785426229,-3.518763251
22199,PLEUMEUR GAUTIER,22740,,PLEUMEUR GAUTIER,48.80046846,-3.151543243
22206,CHATELAUDREN PLOUAGAT,22170,PLOUAGAT,CHATELAUDREN PLOUAGAT,48.530385904,-2.989575344
22207,PLOUARET,22420,,PLOUARET,48.619491788,-3.483272817
22212,PLOUEC DU TRIEUX,22260,,PLOUEC DU TRIEUX,48.672183038,-3.187594155
22218,PLOUGRESCANT,22820,,PLOUGRESCANT,48.84000535,-3.239697939
22219,PLOUGUENAST LANGAST,22150,PLOUGUENAST,PLOUGUENAST LANGAST,48.279779756,-2.690027031
22227,PLOUNERIN,22780,,PLOUNERIN,48.566496872,-3.548705022
22231,PLOURAC H,22160,,PLOURAC H,48.418504423,-3.551745494
22240,PLUMAUGAT,22250,,PLUMAUGAT,48.245436221,-2.230869481
22255,LA PRENESSAYE,22210,,LA PRENESSAYE,48.185932802,-2.647777687
22264,LA ROCHE JAUDY,22450,HENGOAT,LA ROCHE JAUDY,48.731681808,-3.233237382
22264,LA ROCHE JAUDY,22450,LA ROCHE DERRIEN,LA ROCHE JAUDY,48.731681808,-3.233237382
22264,LA ROCHE JAUDY,22450,POULDOURAN,LA ROCHE JAUDY,48.731681808,-3.233237382
22266,ROSTRENEN,22110,,ROSTRENEN,48.22135025,-3.311657917
22268,RUCA,22550,,RUCA,48.561815439,-2.335244671
22276,ST BIHY,22800,,ST BIHY,48.375421403,-2.967114296
22277,ST BRANDAN,22800,,ST BRANDAN,48.389900815,-2.86298438
22279,ST CARADEC,22600,,ST CARADEC,48.191890426,-2.867529495
22291,ST GILDAS,22800,,ST GILDAS,48.422520774,-3.006479202
22302,ST JACUT DE LA MER,22750,,ST JACUT DE LA MER,48.591597419,-2.187270552
22304,ST JEAN KERDANIEL,22170,,ST JEAN KERDANIEL,48.55256884,-3.03449897
22305,ST JOUAN DE L ISLE,22350,,ST JOUAN DE L ISLE,48.266376098,-2.178676718
22308,ST JUVAT,22630,,ST JUVAT,48.361860772,-2.054404661
22309,ST LAUNEUC,22230,,ST LAUNEUC,48.232054792,-2.354098926
22313,ST MARTIN DES PRES,22320,,ST MARTIN DES PRES,48.305324307,-2.964676113
22314,ST MAUDAN,22600,,ST MAUDAN,48.111270043,-2.768196772
22318,ST MICHEL DE PLELAN,22980,,ST MICHEL DE PLELAN,48.462517893,-2.221916561
22321,ST NICOLAS DU PELEM,22480,,ST NICOLAS DU PELEM,48.322747291,-3.164354256
22328,ST SERVAIS,22160,,ST SERVAIS,48.386616103,-3.374269469
22332,ST TRIMOEL,22510,,ST TRIMOEL,48.393649561,-2.541287701
22338,SQUIFFIEC,22200,,SQUIFFIEC,48.637395641,-3.166728557
22339,TADEN,22100,,TADEN,48.487864247,-2.054221532
22344,TREBRIVAN,22340,,TREBRIVAN,48.31013059,-3.480978972
22345,TREBRY,22510,,TREBRY,48.345686971,-2.557665973
22349,TREDREZ LOCQUEMEAU,22300,,TREDREZ LOCQUEMEAU,48.70786489,-3.563569387
22354,TREGLAMUS,22540,,TREGLAMUS,48.556965337,-3.254627352
22358,TREGONNEAU,22200,,TREGONNEAU,48.613932658,-3.163215346
22360,TREGUEUX,22950,CREAC H TREGUEUX,TREGUEUX,48.480324646,-2.745100895
22361,TREGUIDEL,22290,,TREGUIDEL,48.600294517,-2.942781682
22370,TREMEVEN,22290,,TREMEVEN,48.671359237,-3.032182909
22375,TRESSIGNAUX,22290,,TRESSIGNAUX,48.610435981,-2.975254412
22376,TREVE,22600,,TREVE,48.2162507,-2.807521994
22377,TREVENEUC,22410,,TREVENEUC,48.659853811,-2.873919052
22384,UZEL,22460,,UZEL PRES L OUST,48.280960499,-2.847817638
